"quarter","beta","se","ci_lo","ci_hi"
"2020Q1",0.102971085370862,0.105881411428066,-0.104556481028148,0.310498651769872
"2020Q2",0.107843959091765,0.0966009713867272,-0.08149394482622,0.29718186300975
"2020Q3",0.0493288794672964,0.090220648932196,-0.127503592439808,0.2261613513744
"2020Q4",-0.0818034989154741,0.112259320183225,-0.301831766474594,0.138224768643646
"2021Q1",0.0443975007663643,0.0705576436324706,-0.093895480753278,0.182690482286007
"2021Q2",0.123633214392411,0.0717020777360214,-0.016902857970191,0.264169286755013
"2021Q3",0.0636266474777888,0.048716402967912,-0.0318575023393188,0.159110797294896
"2021Q4",0.016310630470758,0.0688317851256205,-0.118599668375458,0.151220929316974
"2022Q1",0.043802848284321,0.0446834708612777,-0.0437767546037834,0.131382451172425
"2022Q2",0.00738122241408395,0.0236032721318763,-0.0388811909643935,0.0536436357925614
"2022Q3",0,0,0,0
"2022Q4",0.00598145298770449,0.0696412387347035,-0.130515374932314,0.142478280907723
"2023Q1",-0.0504035900989413,0.0329128124757622,-0.114912702551435,0.0141055223535526
"2023Q2",-0.0839519583819515,0.0474338446031043,-0.176922293804036,0.00901837704013297
"2023Q3",-0.0329420966674943,0.0568832808850286,-0.14443332720215,0.0785491338671619
"2023Q4",0.105068381337109,0.0949360773165741,-0.0810063302033765,0.291143092877594
"2024Q1",-0.107518970425409,0.0745121769161646,-0.253562837181092,0.0385248963302736
"2024Q2",-0.113660396011525,0.0715554093823277,-0.253908998400888,0.0265882063778369
"2024Q3",-0.161273592298398,0.0679866695188427,-0.294527464555329,-0.0280197200414659
"2024Q4",-0.081308757154404,0.147758362252059,-0.37091514716844,0.208297632859632
"2025Q1",-0.204751231874411,0.0721945038764696,-0.346252459472292,-0.0632500042765307
"2025Q2",-0.231661707841451,0.0803617193383604,-0.389170677744637,-0.0741527379382644
"2025Q3",-0.23615194566859,0.0817446673508634,-0.396371493676282,-0.0759323976608977
"2025Q4",0.0657747113486751,0.143115650689183,-0.214731964002123,0.346281386699473
