ticker,segment,confidence,reasoning
EGAN,customer_engagement,90,Manual classification based on primary business
ZIP,hr_workforce,90,Manual classification based on primary business
LPSN,customer_engagement,90,Manual classification based on primary business
ASAN,content_knowledge,90,Manual classification based on primary business
AEYE,content_knowledge,90,Manual classification based on primary business
EXFY,vertical_specialized,90,Manual classification based on primary business
MCHX,devtools_analytics,90,Manual classification based on primary business
BLIN,content_knowledge,90,Manual classification based on primary business
SKIL,content_knowledge,90,Manual classification based on primary business
BL,vertical_specialized,90,Manual classification based on primary business
HSTM,content_knowledge,90,Manual classification based on primary business
FRSH,customer_engagement,90,Manual classification based on primary business
WK,content_knowledge,90,Manual classification based on primary business
INLX,content_knowledge,90,Manual classification based on primary business
SPT,content_knowledge,90,Manual classification based on primary business
CXM,customer_engagement,90,Manual classification based on primary business
ONTF,content_knowledge,90,Manual classification based on primary business
PATH,devtools_analytics,90,Manual classification based on primary business
APPN,devtools_analytics,90,Manual classification based on primary business
YEXT,content_knowledge,90,Manual classification based on primary business
BILL,vertical_specialized,90,Manual classification based on primary business
INTA,vertical_specialized,90,Manual classification based on primary business
FA,hr_workforce,90,Manual classification based on primary business
BRZE,customer_engagement,90,Manual classification based on primary business
SMSI,vertical_specialized,90,Manual classification based on primary business
MAPS,vertical_specialized,90,Manual classification based on primary business
FIVN,customer_engagement,90,Manual classification based on primary business
CRNC,vertical_specialized,90,Manual classification based on primary business
BOX,content_knowledge,90,Manual classification based on primary business
AI,devtools_analytics,90,Manual classification based on primary business
HCAT,vertical_specialized,90,Manual classification based on primary business
PRCH,vertical_specialized,90,Manual classification based on primary business
CREX,security_infrastructure,90,Manual classification based on primary business
RDVT,security_infrastructure,90,Manual classification based on primary business
PD,devtools_analytics,90,Manual classification based on primary business
CCLD,vertical_specialized,90,Manual classification based on primary business
GDYN,devtools_analytics,90,Manual classification based on primary business
CDLX,devtools_analytics,90,Manual classification based on primary business
DOCS,vertical_specialized,90,Manual classification based on primary business
PCOR,vertical_specialized,90,Manual classification based on primary business
SLP,vertical_specialized,90,Manual classification based on primary business
GTLB,devtools_analytics,90,Manual classification based on primary business
PRGS,devtools_analytics,90,Manual classification based on primary business
APPF,vertical_specialized,90,Manual classification based on primary business
TRAK,vertical_specialized,90,Manual classification based on primary business
MANH,vertical_specialized,90,Manual classification based on primary business
MGNI,devtools_analytics,90,Manual classification based on primary business
NTWK,devtools_analytics,90,Manual classification based on primary business
PCTY,hr_workforce,90,Manual classification based on primary business
VRME,vertical_specialized,90,Manual classification based on primary business
PUBM,devtools_analytics,90,Manual classification based on primary business
RAMP,devtools_analytics,90,Manual classification based on primary business
DSGX,vertical_specialized,90,Manual classification based on primary business
SPSC,vertical_specialized,90,Manual classification based on primary business
QLYS,security_infrastructure,90,Manual classification based on primary business
VRNS,security_infrastructure,90,Manual classification based on primary business
STEM,vertical_specialized,90,Manual classification based on primary business
TENB,security_infrastructure,90,Manual classification based on primary business
TLS,security_infrastructure,90,Manual classification based on primary business
IIIV,vertical_specialized,90,Manual classification based on primary business
OOMA,customer_engagement,90,Manual classification based on primary business
AVPT,content_knowledge,90,Manual classification based on primary business
AGYS,vertical_specialized,90,Manual classification based on primary business
IDN,security_infrastructure,90,Manual classification based on primary business
GWRE,vertical_specialized,90,Manual classification based on primary business
DMRC,security_infrastructure,90,Manual classification based on primary business
EGHT,customer_engagement,90,Manual classification based on primary business
ESTC,devtools_analytics,90,Manual classification based on primary business
CEVA,vertical_specialized,90,Manual classification based on primary business
TCX,vertical_specialized,90,Manual classification based on primary business
CVLT,security_infrastructure,90,Manual classification based on primary business
CFLT,devtools_analytics,90,Manual classification based on primary business
BB,security_infrastructure,90,Manual classification based on primary business
BLZE,security_infrastructure,90,Manual classification based on primary business
BKYI,security_infrastructure,90,Manual classification based on primary business
BAND,security_infrastructure,90,Manual classification based on primary business
AWRE,security_infrastructure,90,Manual classification based on primary business
ALKT,vertical_specialized,90,Manual classification based on primary business
DDOG,devtools_analytics,90,Manual classification based on primary business
DT,devtools_analytics,90,Manual classification based on primary business
DOCN,security_infrastructure,90,Manual classification based on primary business
NET,security_infrastructure,90,Manual classification based on primary business
S,security_infrastructure,90,Manual classification based on primary business
EVTC,vertical_specialized,90,Manual classification based on primary business
FSLY,security_infrastructure,90,Manual classification based on primary business
RBBN,security_infrastructure,90,Manual classification based on primary business
QTWO,vertical_specialized,90,Manual classification based on primary business
MDB,devtools_analytics,90,Manual classification based on primary business
MQ,vertical_specialized,90,Manual classification based on primary business
PDFS,devtools_analytics,90,Manual classification based on primary business
ZS,security_infrastructure,90,Manual classification based on primary business
SSTI,vertical_specialized,90,Manual classification based on primary business
DUOT,vertical_specialized,90,Manual classification based on primary business
RPD,security_infrastructure,90,Manual classification based on primary business
BSY,vertical_specialized,90,Manual classification based on primary business
NTCT,security_infrastructure,90,Manual classification based on primary business
TTD,devtools_analytics,90,Manual classification based on primary business
BLKB,customer_engagement,90,Manual classification based on primary business
PAYC,hr_workforce,90,Manual classification based on primary business
OKTA,security_infrastructure,90,Manual classification based on primary business
TEAD,devtools_analytics,90,Manual classification based on primary business
HUBS,customer_engagement,90,Manual classification based on primary business
CSGS,vertical_specialized,90,Manual classification based on primary business
PEGA,devtools_analytics,90,Manual classification based on primary business
CRWD,security_infrastructure,90,Manual classification based on primary business
TYL,vertical_specialized,90,Manual classification based on primary business
RNG,customer_engagement,90,Manual classification based on primary business
VRSN,security_infrastructure,90,Manual classification based on primary business
NTNX,security_infrastructure,90,Manual classification based on primary business
FDS,devtools_analytics,90,Manual classification based on primary business
VEEV,vertical_specialized,90,Manual classification based on primary business
CLVT,devtools_analytics,90,Manual classification based on primary business
PTC,vertical_specialized,90,Manual classification based on primary business
JKHY,vertical_specialized,90,Manual classification based on primary business
TDC,vertical_specialized,90,Manual classification based on primary business
DBX,content_knowledge,90,Manual classification based on primary business
